Name,Method,Strategic_Plan_URL,Strategic_Plan_File,Impact_Report_URL,Impact_Report_File
ACT Lawrence,none_found,,,,
Bellesini Academy,tier2_all_links,https://bellesiniacademy.org/mission,org_reports/Bellesini_Academy/strategic_plan.html,,
Beyond Soccer,tier1_keyword,,,https://www.beyondsoccerlawrence.org/our-story-3/impact/,org_reports/Beyond_Soccer/impact_report.html
Bread and Roses Housing,none_found,,,,
Bread and Roses Kitchen,tier1_keyword,,,https://breadandroseskitchen.org/impact-report,org_reports/Bread_and_Roses_Kitchen/impact_report.html
Children's Friend and Family Services- a division of JRI,none_found,,,,
Community Giving Tree,none_found,,,,
Community InRoads,tier2_all_links,,,https://www.communityinroads.org/success-stories.html,org_reports/Community_InRoads/impact_report.html
EforAll,none_found,,,,
Elevated Thought,tier2_all_links,,,https://www.elevatedthought.org/funders,org_reports/Elevated_Thought/impact_report.html
Elliot Community Services,tier1_keyword,,,https://www.eliotchs.org/mission-and-impact-statements/,org_reports/Elliot_Community_Services/impact_report.html
Esperanza Academy,tier1_keyword,,,https://esperanzaacademy.org/impact,org_reports/Esperanza_Academy/impact_report.html
Essex County Habitat For Humanity,none_found,,,,
Family Services of Merrimack Valley/LMCC,tier1_keyword,,,https://fsmv.org/about-us/impact/,org_reports/Family_Services_of_Merrimack_Valley_LMCC/impact_report.html
Greater Lawrence Community Action Council (GLCAC),none_found,,,,
Greater Lawrence Community Boating,none_found,,,,
Greater Lawrence Family Health,tier3_deeper,,,https://glfhc.org/glfhc-annual-report-2025/,org_reports/Greater_Lawrence_Family_Health/impact_report.html
Greater Lawrence Fellowship of the Arts,tier2_all_links,https://www.greaterlawrencearts.org/our-mission/,org_reports/Greater_Lawrence_Fellowship_of_the_Arts/strategic_plan.html,https://www.greaterlawrencearts.org/glfa2023/,org_reports/Greater_Lawrence_Fellowship_of_the_Arts/impact_report.html
Greater Lawrence Technical School,tier1_keyword,,,https://www.glts.net/about-us/school-report-card,org_reports/Greater_Lawrence_Technical_School/impact_report.html
Groundwork Lawrence,none_found,,,,
Hands to Help,tier1_keyword,https://www.merrimack.edu/agenda-for-the-future/,org_reports/Hands_to_Help/strategic_plan.html,,
International Institute of Greater Lawrence,none_found,,,,
Jeanne Geiger Crisis Center,none_found,,,,
Lawrence Boys and Girls Club,tier1_keyword,,,http://www.lawrencebgc.com/who-we-are/annual-reports-newsletters/,org_reports/Lawrence_Boys_and_Girls_Club/impact_report.html
Lawrence Catholic Academy,tier2_all_links,https://www.lawrencecatholicacademy.net/the-new-lca,org_reports/Lawrence_Catholic_Academy/strategic_plan.html,,
Lawrence Community Works,none_found,,,,
Lawrence General Hospital,none_found,,,,
Lawrence Partnership,tier2_all_links,https://www.lawrencepartnership.org/vision,org_reports/Lawrence_Partnership/strategic_plan.html,,
Lawrence Partnership for Transition to Employment (LPTE),tier1_keyword,,,https://www.lawrencepartnership.org/annualmeeting2026,org_reports/Lawrence_Partnership_for_Transition_to_Employment_LPTE/impact_report.html
Lawrence Prospera- Quintana Center,tier1_keyword,,,https://www.lawrenceprospera.org/about-us/annual-reports,org_reports/Lawrence_Prospera_Quintana_Center/impact_report.html
Lawrence Prospera- SISU,tier1_keyword,,,https://www.lawrenceprospera.org/about-us/annual-reports,org_reports/Lawrence_Prospera_SISU/impact_report.html
Lawrence Public Library,none_found,,,,
Lawrence Public Schools,tier1_keyword,https://www.lawrence.k12.ma.us/about/district/strategic-plan,org_reports/Lawrence_Public_Schools/strategic_plan.html,https://www.lawrence.k12.ma.us/about/district/public-notification/department-of-elementary-and-secondary-education’s-office-of-public-school-integrated-monitoring-review-report,org_reports/Lawrence_Public_Schools/impact_report.html
Lawrence YMCA,none_found,,,,
Lazarus House Ministries,tier1_keyword,,,https://lazarushouse.org/annual-report-2025/,org_reports/Lazarus_House_Ministries/impact_report.html
MSPCC/Healthy Families,tier1_keyword,,,https://www.mspcc.org/annual-reports/,org_reports/MSPCC_Healthy_Families/impact_report.html
Merrimack Valley Dream Center,tier2_all_links,https://www.mvdreamcenter.org/vision-and-mission,org_reports/Merrimack_Valley_Dream_Center/strategic_plan.html,,
Merrimack River Watershed Council (MRVC),tier2_all_links,,,https://merrimack.org/our-work/,org_reports/Merrimack_River_Watershed_Council_MRVC/impact_report.html
Merrimack Valley Food Bank,tier2_all_links,,,https://mvfb.org/about-us/financial-information/,org_reports/Merrimack_Valley_Food_Bank/impact_report.html
Northeast Justice Center,none_found,,,,
Northern Essex Community College,tier1_keyword,https://www.necc.mass.edu/about/strategic-plan-2022-2027/,org_reports/Northern_Essex_Community_College/strategic_plan.html,,
Notre Dame Cristo Rey,tier1_keyword,,,https://www.ndcrhs.org/about/impact-reports,org_reports/Notre_Dame_Cristo_Rey/impact_report.html
Notre Dame Education Center,tier2_all_links,https://www.ndeclawrence.net/about,org_reports/Notre_Dame_Education_Center/strategic_plan.html,,
Neighbors in Need,tier2_all_links,,,https://needfood.org/annual-meeting-2026/,org_reports/Neighbors_in_Need/impact_report.html
Partners for Child Development,none_found,,,,
Phoenix Charter Academy,tier1_keyword,,,https://www.phoenixcharteracademy.org/our-impact/results/,org_reports/Phoenix_Charter_Academy/impact_report.html
Sarah's Place Adult Day Health Center,tier2_all_links,,,https://sarahsplace.org/newsletter_pdf/July 2026 Newsletter.pdf,org_reports/Sarah_s_Place_Adult_Day_Health_Center/impact_report.pdf
Sevita Health,none_found,,,,
Si se puede!,none_found,,,,
Squash Busters,none_found,,,,
St. Mary's Parish,none_found,,,,
St. Patrick's Catholic Church,none_found,,,,
Suenos Basketball,none_found,,,,
The Community Builders,tier1_keyword,,,https://tcbinc.org/news-and-ideas/#impact,org_reports/The_Community_Builders/impact_report.html
The Community Group,tier2_all_links,,,https://www.thecommunitygroupinc.org/news/,org_reports/The_Community_Group/impact_report.html
The Institute for Career Transitions,none_found,,,,
The Kindness Collaborative,tier2_all_links,,,https://kindnesscollab.org/blog-news/,org_reports/The_Kindness_Collaborative/impact_report.html
The Psychological Center,none_found,,,,
The Salvation Army Lawrence Corps,none_found,,,,
Top Notch Scholars,none_found,,,,
Uncommon Threads,tier2_all_links,,,https://www.uncommonthreads.org/uncommon-influence,org_reports/Uncommon_Threads/impact_report.html
YWCA,none_found,,,,
Youth Development Organization,tier2_all_links,,,https://www.ydolawrence.org/success-stories/,org_reports/Youth_Development_Organization/impact_report.html
American Red Cross | Massachusetts Region,tier2_all_links,,,https://www.redcross.org/local/massachusetts/ways-to-donate/local-giving.html,org_reports/American_Red_Cross_Massachusetts_Region/impact_report.html
City of Lawrence,tier1_keyword,,,,
