Name,Method,Strategic_Plan_URL,Impact_Report_URL
ACT Lawrence,none_found,None,https://www.actlawrence.org/about-5
Bellesini Academy,tier2_all_links,None,None
Beyond Soccer,tier1_keyword,None,https://www.beyondsoccerlawrence.org/our-story-3/impact/
Bread and Roses Housing,none_found,None,https://mycaf.org/annual-report/
Bread and Roses Kitchen,tier1_keyword,None,https://breadandroseskitchen.org/impact-report
Children's Friend and Family Services- a division of JRI,none_found,None,None
Community Giving Tree,none_found,None,None
Community InRoads,tier2_all_links,None,None
EforAll,none_found,None,https://eforall.org/es/impacto/
Elevated Thought,tier2_all_links,None,None
Elliot Community Services,tier1_keyword,None,https://www.eliotchs.org/mission-and-impact-statements/
Esperanza Academy,tier1_keyword,None,https://esperanzaacademy.org/impact
Essex County Habitat For Humanity,none_found,https://www.essexcountyhabitat.org/current-projects/,None
Family Services of Merrimack Valley/LMCC,tier1_keyword,None,https://fsmv.org/about-us/impact/
Greater Lawrence Community Action Council (GLCAC),none_found,None,https://www.glcac.org/about-us/
Greater Lawrence Community Boating,none_found,None,None
Greater Lawrence Family Health,tier3_deeper,None,https://glfhc.org/glfhc-annual-report-2025/
Greater Lawrence Fellowship of the Arts,tier2_all_links,None,None
Greater Lawrence Technical School,tier1_keyword,None,https://www.glts.net/about-us/school-report-card
Groundwork Lawrence,none_found,None,None
Hands to Help,tier1_keyword,https://www.merrimack.edu/agenda-for-the-future/,None
International Institute of Greater Lawrence,none_found,None,None
Jeanne Geiger Crisis Center,none_found,None,https://jeannegeigercrisiscenter.org/get-help/survivor-services/
Lawrence Boys and Girls Club,tier1_keyword,None,http://www.lawrencebgc.com/who-we-are/annual-reports-newsletters/
Lawrence Catholic Academy,tier2_all_links,None,None
Lawrence Community Works,none_found,None,https://www.lawrencecommunityworks.org/missionandhistory
Lawrence General Hospital,none_found,None,None
Lawrence Partnership,tier2_all_links,https://www.lawrencepartnership.org/vision,
Lawrence Partnership for Transition to Employment (LPTE),tier1_keyword,None,None
Lawrence Prospera- Quintana Center,tier1_keyword,None,https://www.lawrenceprospera.org/about-us/annual-reports
Lawrence Prospera- SISU,tier1_keyword,None,https://www.lawrenceprospera.org/about-us/annual-reports
Lawrence Public Library,none_found,None,None
Lawrence Public Schools,tier1_keyword,https://www.lawrence.k12.ma.us/about/district/strategic-plan,https://www.lawrence.k12.ma.us/about/district/public-notification/department-of-elementary-and-secondary-education’s-office-of-public-school-integrated-monitoring-review-report
Lawrence YMCA,none_found,None,None
Lazarus House Ministries,tier1_keyword,None,https://lazarushouse.org/annual-report-2025/
MSPCC/Healthy Families,tier1_keyword,None,https://www.mspcc.org/annual-reports/
Merrimack Valley Dream Center,tier2_all_links,None,None
Merrimack River Watershed Council (MRVC),tier2_all_links,None,None
Merrimack Valley Food Bank,tier2_all_links,None,https://mvfb.org/about-us/financial-information/
Northeast Justice Center,none_found,None,None
Northern Essex Community College,tier1_keyword,https://necc.edu/about/strategic-plan-2022-2027/strategic-planning-process/,None
Notre Dame Cristo Rey,tier1_keyword,None,https://www.ndcrhs.org/about/impact-reports
Notre Dame Education Center,tier2_all_links,None,None
Neighbors in Need,tier2_all_links,None,https://needfood.org/annual-meeting-2026/
Partners for Child Development,none_found,None,None
Phoenix Charter Academy,tier1_keyword,None,https://www.phoenixcharteracademy.org/our-impact/results/
Sarah's Place Adult Day Health Center,tier2_all_links,None,None
Sevita Health,none_found,None,https://sevitahealth.com/our-impact/
Si se puede!,none_found,None,None
Squash Busters,none_found,None,https://squashbusters.org/reports/
St. Mary's Parish,none_found,None,None
St. Patrick's Catholic Church,none_found,None,https://www.saintpatrickparish.com/2025-annual-report
Suenos Basketball,none_found,None,None
The Community Builders,tier1_keyword,None,https://tcbinc.org/news-and-ideas/#impact
The Community Group,tier2_all_links,None,https://www.thecommunitygroupinc.org/about/
The Institute for Career Transitions,none_found,None,None
The Kindness Collaborative,tier2_all_links,None,None
The Psychological Center,none_found,None,None
The Salvation Army Lawrence Corps,none_found,None,None
Top Notch Scholars,none_found,None,None
Uncommon Threads,tier2_all_links,None,None
YWCA,none_found,None,None
Youth Development Organization,tier2_all_links,None,None
American Red Cross | Massachusetts Region,tier2_all_links,None,None
City of Lawrence,tier1_keyword,None,None
