Name,Address,City,State,Zip,URL,OrgType,ServiceArea,Services,Latitude,Longitude,Strategic Plan,Impact Report
ACT Lawrence,"15 Union St C, 4th Floor Suite 409",Lawrence,MA,1840,https://www.actlawrence.org,Non-profit organization,Human Services,"Adult Education, Economic Mobility, Workforce Development, Financial Literacy, Food Insecurity",42.7081,-71.1531,,
Bellesini Academy,94 Bradford Street,Lawrence,MA,1840,https://bellesiniacademy.org,K-12 School,Youth Education,"K-8 Education, Faith-based Education, Academic Support",42.7082754,-71.169141,,
Beyond Soccer,280 Merrimack Street,Lawrence,MA,1843,https://www.beyondsoccerlawrence.org,Non-profit organization,Youth Development,"Athletics, Youth Development, After School",42.7030541,-71.1475829,,https://www.beyondsoccerlawrence.org/our-story-3/impact/
Bread and Roses Housing,"15 Union Street, Suite 205",Lawrence,MA,1840,https://brhousing.org,Non-profit organization,Housing Insecurity,"Housing Insecurity, Homelessness, Affordable Housing",42.7081,-71.1531,,https://mycaf.org/annual-report/
Bread and Roses Kitchen,58 Newbury Street,Lawrence,MA,1840,https://breadandroseskitchen.org,Non-profit organization,Food Insecurity,"Food Insecurity, Food Pantry, Hunger Relief",42.7097136,-71.1558709,,https://breadandroseskitchen.org/impact-report
Children's Friend and Family Services- a division of JRI,"15 Union Street, Suite 200",Lawrence,MA,1840,https://www.childrensfriend.net,Non-profit organization,Mental and Behavioral Health,"Family Services, Child Welfare, Mental Health, Foster Care",42.7081,-71.1531,,
Community Giving Tree,572B Main Street,Boxford,MA,2191,https://www.communitygivingtree.org,Non-profit organization,"Family Services, Other: Basic needs","Basic Needs, Clothing, Diapers, Family Services, Toy Drive",42.6775596,-71.0394324,,
Community InRoads,190 Academy Road,North Andover,MA,1845,https://www.communityinroads.org,Non-profit organization,Non-Profit Support,"Capacity Building, Training, Consulting, Mentoring, Board Development, Economic Mobility, Workforce Development, Education",42.6843348,-71.1120036,,
EforAll,175 Cabot St. Suite 310,Lowell,MA,1854,https://eforall.org/ma/merrimack-valley,Non-profit organization,Economic Mobility,"Economic Mobility, Workforce Development, Entrepreneurship, Small Business, Financial Literacy",42.6414437,-71.3085329,,https://eforall.org/es/impacto/
Elevated Thought,"15 Union Street, #120",Lawrence,MA,1841,https://www.elevatedthought.org,Non-profit organization,Youth Development,"Arts and Culture, Youth Development, Creative Arts, After School",42.7081,-71.1531,,
Elliot Community Services,248 Broadway,Lawrence,MA,1840,https://www.eliotchs.org/services,Non-profit organization,Mental and Behavioral Health,"Mental Health, Family Services, Counseling, Behavioral Health",42.7094,-71.1658,,https://www.eliotchs.org/mission-and-impact-statements/
Esperanza Academy,198 Garden Street,Lawrence,MA,1840,https://esperanzaacademy.org,K-12 School,Youth Education,"Education, Youth Development, Middle School, Girls Education",42.708974,-71.1576232,,https://esperanzaacademy.org/impact
Essex County Habitat For Humanity,647 Andover Street,Lawrence,MA,1843,https://www.essexcountyhabitat.org/shop,Non-profit organization,Housing Insecurity,"Housing Insecurity, Homelessness, Home Repair, Affordable Housing, Home Ownership",42.6884892,-71.1783893,,
Family Services of Merrimack Valley/LMCC,430 North Canal Street,Lawrence,MA,1840,https://fsmv.org,Non-profit organization,Family Services,"Family Services, Counseling, Domestic Violence, Mental Health",42.7051143,-71.1643174,,https://fsmv.org/about-us/impact/
Greater Lawrence Community Action Council (GLCAC),305 Essex Street,Lawrence,MA,1840,https://www.glcac.org,Non-profit organization,Human Services,"Anti-Poverty Programs, Food Insecurity, Housing Assistance, Energy Assistance, Head Start, Social Services",42.7079147,-71.1617742,,https://www.glcac.org/about-us/
Greater Lawrence Community Boating,1 Eaton Street,Lawrence,MA,1843,http://www.boatingprogram.com,Non-profit organization,Youth Development,"After School, Out of School, Youth Development, Athletics, Water Sports",42.6923785,-71.1768125,,
Greater Lawrence Family Health,34 Haverhill Street,Lawrence,MA,1840,https://glfhc.org,Non-profit organization,Healthcare,"Healthcare, Primary Care, Dental Care, Behavioral Health, Maternal Health",42.7118653,-71.1519738,,https://glfhc.org/glfhc-annual-report-2025/
Greater Lawrence Fellowship of the Arts,78 Amesbury Street,Lawrence,MA,1840,https://www.greaterlawrencearts.org,Non-profit organization,Youth Development,"Arts and Culture, Creative Arts, Community Arts",42.7080227,-71.1642461,,
Greater Lawrence Technical School,57 River Road,Andover,MA,1810,https://www.glts.net,K-12 School,Education,"Education, Vocational Training, Workforce Development, Youth Development, Career Technical Education",42.6969634,-71.1980444,,https://www.glts.net/about-us/school-report-card
Groundwork Lawrence,50 Island Avenue,Lawrence,MA,1840,https://www.groundworklawrence.org,Non-profit organization,Environmental Justice,"Environmental Justice, Climate Change, Food Insecurity, Urban Agriculture, Public Health, Youth Development, Green Jobs",42.7057,-71.1531,,
Hands to Help,315 Turnpike Street,North Andover,MA,1845,https://www.merrimack.edu/about/offices_services/hands-to-help,Non-profit organization,Economic Mobility,"Adult Education, After School, College Prep, Economic Mobility, Workforce Development, Literacy, Social Services",42.6678835,-71.1209967,,
International Institute of Greater Lawrence,125 Amesbury Street,Lawrence,MA,1840,https://immigrationlawrence.org,Non-profit organization,Adult education,"Adult Education, ESL, Immigration, Legal Services, Literacy, Citizenship",42.709491,-71.1637744,,
Jeanne Geiger Crisis Center,2 Harris Street,Newburyport,MA,1950,https://jeannegeigercrisiscenter.org,Non-profit organization,Mental and Behavioral Health,"Domestic Violence, Intimate Partner Violence, Family Services, Youth Development, Sexual Assault, Crisis Intervention",42.8088448,-70.8714848,,https://jeannegeigercrisiscenter.org/get-help/survivor-services/
Lawrence Boys and Girls Club,136 Water Street,Lawrence,MA,1841,http://www.lawrencebgc.com,Non-profit organization,Youth Development,"Youth Development, After School, Athletics, Academic Support, Summer Programs",42.6993507,-71.1704022,,http://www.lawrencebgc.com/who-we-are/annual-reports-newsletters/
Lawrence Catholic Academy,101 Parker Street,Lawrence,MA,1841,https://www.lawrencecatholicacademy.net,K-12 School,Youth Education,"K-8 Education, Faith-based Education",42.6976779,-71.159655,,
Lawrence Community Works,168 Newbury Street,Lawrence,MA,1840,https://www.lawrencecommunityworks.org,Non-profit organization,Human Services,"Community Development, Housing, Workforce Development, Social Services, Civic Engagement",42.713494,-71.1559939,,
Lawrence General Hospital,1 General Street,Lawrence,MA,1841,https://www.lawrencegeneral.org,Healthcare System,Healthcare,"Healthcare, Emergency Care, Mental Health, Public Health, Substance Use, Maternity Care",42.7097143,-71.150077,,
