Name,Address,City,State,Zip,URL,OrgType,ServiceArea,Latitude,Longitude,Strategic Plan,Impact Report,Services,Phone,Hours,HoursSourceURL,HoursVerifiedOn
ACT Lawrence,"15 Union St C, 4th Floor Suite 409",Lawrence,MA,01840,https://www.actlawrence.org,Non-profit organization,Human Services,42.7081,-71.1531,,,"First-Time Homebuyer Education, Landlord/Tenant Rights & Responsibilities Workshops, Foreclosure Prevention and Homeowner Counseling, Rental Assistance and Counseling, Youth Housing Support, Vocational Training and Certifications",(978) 685-6274,,https://www.actlawrence.org,2026-09-24
Bellesini Academy,94 Bradford Street,Lawrence,MA,01840,https://bellesiniacademy.org,K-12 School,Youth Education,42.7082754,-71.169141,,,"Rigorous Academic Curriculum, After-School Activities, Evening Study Program, Summer Enrichment Program, Alumni Support Program, Family Partnership",(978) 989-0004,,https://bellesiniacademy.org/,2026-09-24
Beyond Soccer,280 Merrimack Street,Lawrence,MA,01843,https://www.beyondsoccerlawrence.org,Non-profit organization,Youth Development,42.7030541,-71.1475829,,https://www.beyondsoccerlawrence.org/our-story-3/impact/,"Paul Lefty Wennik Scholarship, Summer Enrichment, Lawrence Youth Soccer, Winter Futsal, Academic Overtime, Youth Sports Nutrition & Wellness (Health Kicks!), Beyond Resilient Girls Program, Leadership & Youth Jobs, In School Programs, Sport & Wellness Camp",978-681-5050,,https://www.beyondsoccerlawrence.org,2026-09-24
Bread and Roses Housing,"15 Union Street, Suite 205",Lawrence,MA,01840,https://brhousing.org,Non-profit organization,Housing Insecurity,42.7081,-71.1531,,https://mycaf.org/annual-report/,"Homebuyer Education and Counseling, Foreclosure Prevention, Rental Counseling, Financial Literacy, Credit Counseling, and Consumer Protection, Public and Social Health, Environmental Health and Environmental Justice, Family Strengthening and Mental Health Services, Elderly Support Program, Workforce Skill Development, Capacity Building, Housing Development, Advocacy",(978) 332-7108,,https://brhousing.org (org merged into Centro de Apoyo Familiar - see qa/open_questions.csv),2026-09-24
Bread and Roses Kitchen,58 Newbury Street,Lawrence,MA,01840,https://breadandroseskitchen.org,Non-profit organization,Food Insecurity,42.7097136,-71.1558709,,https://breadandroseskitchen.org/impact-report,"Community Meals, Grab and Go, Emergency Food Pantry, Community Food Outreach, Food Rescue, Life and Health Services",(978) 681-8768,Dinner: Mon–Thu 4–6 PM; Emergency pantry: Mon & Wed 1–3 PM; Donation drop-off: Mon–Thu 10 AM–6 PM (closed Fri–Sun),https://breadandroseskitchen.org/contact,2026-09-24
Children's Friend and Family Services- a division of JRI,"15 Union Street, Entrance C, 2nd Floor, Suite 215",Lawrence,MA,01840,https://jri.org/?program=childrens-friend-and-family-services-lawrence-clinic,Non-profit organization,Mental and Behavioral Health,42.7081,-71.1531,,,"Individual and Family Counseling, Group Counseling, Psychopharmacology, Trauma-Focused Cognitive Behavioral Therapy (TF-CBT), Family Support and Training, In-Home Therapy, Therapeutic Mentoring, Expressive and Nature-Based Therapies",(978) 682-7289,,https://jri.org/?program=childrens-friend-and-family-services-lawrence-clinic,2026-09-24
Community Giving Tree,572B Main Street,Boxford,MA,01921,https://www.communitygivingtree.org,Non-profit organization,"Family Services, Other: Basic needs",42.708117,-71.064386,,,"Evening of Giving, October Fun Fest, Back to School Program",978-769-5056,Mon–Fri 9 AM–2 PM; Sat–Sun closed,https://www.communitygivingtree.org/,2026-09-24
Community InRoads,190 Academy Road,North Andover,MA,01845,https://www.communityinroads.org,Non-profit organization,Non-Profit Support,42.6843348,-71.1120036,,,"Nonprofit Consulting, Executive Roundtables for Nonprofit Leaders, Cultural Inclusion Program, Board Development and Training, Nonprofit Management Workshops, Volunteer Recruitment and Placement for Nonprofits",978-604-8803,,https://www.communityinroads.org,2026-09-24
EforAll,175 Cabot St. Suite 310,Lowell,MA,01854,https://eforall.org/ma/merrimack-valley,Non-profit organization,Economic Mobility,42.649838,-71.317484,,https://eforall.org/es/impacto/,"Business Accelerator Program, Entrepreneur Training and Mentorship, Team Networking Events, Final Pitch Competition, Alumni Workshops",(833) 336-7255,,https://eforall.org/ma/merrimack-valley/,2026-09-24
Elevated Thought,"15 Union Street, #120",Lawrence,MA,01840,https://www.elevatedthought.org,Non-profit organization,Youth Development,42.7081,-71.1531,,,"Summer Intensive Art Program, Visual Arts Apprenticeship, Photography and Videography Apprenticeship, Creative Writing Apprenticeship, Sewing and Sustainable Fashion Apprenticeship, Social Justice Collective for Youth, Community Engagement through Public Art Projects",978-552-3439,,https://www.elevatedthought.org,2026-09-24
