OrgName,LocationName,Address,City,State,Zip,Phone,Hours,ServicesHere,Kind,SourceURL,VerifiedOn,Latitude,Longitude,GeoSource
Lazarus House Ministries,Administrative Office,412 Hampshire Street,Lawrence,MA,01841,(978) 689-8575,,Administration and donations,admin,https://lazarushouse.org/contact/,2026-09-23,42.71585,-71.171379,census
Lazarus House Ministries,St. Martha's Food Pantry,242 Hampshire Street,Lawrence,MA,01841,,Wed 9 AM–2 PM,Food pantry (grocery distribution),public,https://lazarushouse.org/contact/,2026-09-23,42.71101,-71.168688,census
Lazarus House Ministries,Good Shepherd Soup Kitchen,260 Park Street,Lawrence,MA,01841,,Daily 8:30–9:30 AM & 11:30 AM–1 PM (breakfast and lunch),Soup kitchen,public,https://lazarushouse.org/contact/,2026-09-23,42.716003,-71.171853,census
Lazarus House Ministries,Thrift Store,229 South Union Street,Lawrence,MA,01843,(978) 557-5449,"Mon, Tue, Thu, Fri, Sat 10 AM–3 PM; Wed 9 AM–5 PM",Thrift store,public,https://lazarushouse.org/contact/,2026-09-23,42.6962,-71.153481,census
Lazarus House Ministries,Emergency Shelter — 24-hour intake line,,,,,(978) 794-8447,"24 hours, 7 days",Emergency shelter intake,public,https://lazarushouse.org/contact/,2026-09-23,,,
Greater Lawrence Family Health,Main Site — Clinic,34 Haverhill Street,Lawrence,MA,01841,(978) 686-0090,Mon–Thu 8 AM–9 PM; Fri 9 AM–6 PM; Sat–Sun 9 AM–5 PM,Primary and walk-in care,public,https://glfhc.org/locations/,2026-09-23,42.712024,-71.152204,census
Greater Lawrence Family Health,Main Site — Pharmacy,34 Haverhill Street,Lawrence,MA,01841,(978) 688-1567,Mon–Thu 8:30 AM–9 PM; Fri 9 AM–7 PM; Sat–Sun 9 AM–5 PM,Pharmacy,public,https://glfhc.org/locations/,2026-09-23,42.712024,-71.152204,census
Greater Lawrence Family Health,North Site — Clinic,150 Park Street,Lawrence,MA,01841,(978) 685-1770,"Mon, Wed, Thu 8 AM–5 PM; Tue 8 AM–9 PM; Fri 9 AM–5 PM; Sat–Sun closed",Primary care,public,https://glfhc.org/locations/,2026-09-23,42.716337,-71.166498,census
Greater Lawrence Family Health,North Site — Pharmacy,150 Park Street,Lawrence,MA,01841,(978) 686-4453,Mon 8:30 AM–6 PM; Tue 8:30 AM–9 PM; Wed–Thu 8:30 AM–6 PM; Fri 9 AM–6 PM; Sat–Sun closed,Pharmacy,public,https://glfhc.org/locations/,2026-09-23,42.716337,-71.166498,census
Greater Lawrence Family Health,South Site — Clinic,73 Winthrop Avenue,Lawrence,MA,01843,(978) 686-3017,Mon 8 AM–9 PM; Tue–Thu 8 AM–5 PM; Fri 9 AM–5 PM; Sat–Sun closed,Primary care,public,https://glfhc.org/locations/,2026-09-23,42.690309,-71.150125,census
Greater Lawrence Family Health,South Site — Pharmacy,73 Winthrop Avenue,Lawrence,MA,01843,(978) 689-6790,Mon 8:30 AM–8 PM; Tue–Thu 8:30 AM–6 PM; Fri 9 AM–6 PM; Sat–Sun closed,Pharmacy,public,https://glfhc.org/locations/,2026-09-23,42.690309,-71.150125,census
Greater Lawrence Family Health,West Site — Clinic,700 Essex Street,Lawrence,MA,01841,(978) 689-2400,Mon 8 AM–8 PM; Tue–Thu 8 AM–5 PM; Fri 9 AM–5 PM; Sat–Sun closed,Primary care,public,https://glfhc.org/locations/,2026-09-23,42.702234,-71.173704,census
Greater Lawrence Family Health,West Site — Pharmacy,700 Essex Street,Lawrence,MA,01841,(978) 691-6248,Mon 8:30 AM–8 PM; Tue–Thu 8:30 AM–6 PM; Fri 9 AM–6 PM; Sat–Sun closed,Pharmacy,public,https://glfhc.org/locations/,2026-09-23,42.702234,-71.173704,census
Greater Lawrence Family Health,Methuen Site — Clinic,147 Pelham Street,Methuen,MA,01844,(978) 683-3491,Mon–Thu 8 AM–5 PM; Fri 9 AM–5 PM; Sat–Sun closed,Primary care,public,https://glfhc.org/locations/,2026-09-23,42.727817,-71.202559,census
Greater Lawrence Family Health,Methuen Site — Pharmacy,147 Pelham Street,Methuen,MA,01844,(978) 655-5731,"Mon, Tue, Thu 8:30 AM–6 PM; Wed 8:30 AM–7 PM; Fri 9 AM–6 PM; Sat–Sun closed",Pharmacy,public,https://glfhc.org/locations/,2026-09-23,42.727817,-71.202559,census
Greater Lawrence Family Health,Haverhill Site — Clinic,755 Main Street,Haverhill,MA,01830,(978) 557-2300,"Mon, Wed, Thu 8 AM–5 PM; Tue 8 AM–6 PM; Fri 9 AM–5 PM; Sat–Sun closed",Primary care,public,https://glfhc.org/locations/,2026-09-23,42.797119,-71.088022,census
Greater Lawrence Family Health,Haverhill Site — Pharmacy,755 Main Street,Haverhill,MA,01830,(978) 557-2399,Mon–Fri 9 AM–5 PM; Sat–Sun closed,Pharmacy,public,https://glfhc.org/locations/,2026-09-23,42.797119,-71.088022,census
Neighbors in Need,Administrative Office,"60 Island Street, Suite 74A",Lawrence,MA,01840,(978) 685-8321,,Administration — no food distributed at this address,admin,https://needfood.org/,2026-09-23,42.706143,-71.151717,census
Neighbors in Need,Iglesia Adventista Del Septimo Dia Jerusalen,198 South Broadway,Lawrence,MA,01843,,Tue 9–10:30 AM,Food pantry,public,https://needfood.org/,2026-09-23,42.69503,-71.162356,census
Neighbors in Need,First Church Congregational,26 Pleasant Street,Methuen,MA,01844,,Tue 5:30–6:30 PM,"Food pantry (rear parking lot, accessible from High Street)",public,https://needfood.org/,2026-09-23,42.729114,-71.18537,census
Neighbors in Need,St. Andrew's Church,90 Broadway,Methuen,MA,01844,,Wed 12:30–2 PM,Food pantry,public,https://needfood.org/,2026-09-23,42.720311,-71.181994,nominatim
Neighbors in Need,Lawrence Boys and Girls Club,136 Water Street,Lawrence,MA,01841,,Thu 9–10:30 AM,Food pantry,public,https://needfood.org/,2026-09-23,42.699737,-71.171368,census
Neighbors in Need,Robb Center / Personas Mayores de Andover,30 Whittier Court,Andover,MA,01810,,Thu 4–5 PM,Food pantry,public,https://needfood.org/,2026-09-23,42.65725,-71.135948,census
Neighbors in Need,Ministerio Apostolico Jesucristo es el Señor,96 East Haverhill Street,Lawrence,MA,01841,,Fri 9–10:30 AM,Food pantry,public,https://needfood.org/,2026-09-23,42.716802,-71.155235,census
Essex County Habitat For Humanity,Main Office,14 Park Street,Danvers,MA,01923,(978) 681-8858,Mon–Fri 8:30 AM–1:30 PM (in person; staff remote until 4:30 PM; appointments recommended),Administration,admin,https://www.essexcountyhabitat.org/contact,2026-09-23,42.563721,-70.93631,census
Essex County Habitat For Humanity,Lawrence ReStore,647 Andover Street,Lawrence,MA,01843,(978) 686-3323,Tue–Sat 10 AM–5 PM,ReStore donations and shopping,public,https://www.essexcountyhabitat.org/contact,2026-09-23,42.688666,-71.179093,census
Greater Lawrence Community Action Council (GLCAC),Administration & Finance,"305 Essex Street, 4th Floor",Lawrence,MA,01840,(978) 681-4900,Mon–Fri 8:30 AM–4:30 PM,Administration,admin,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Community Service Center,"305 Essex Street, 2nd Floor",Lawrence,MA,01840,(978) 681-4970,Mon–Fri 8:30 AM–4:30 PM,Community services intake,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Michael B. Christensen Community & Family Support Center,"305 Essex Street, 2nd Floor",Lawrence,MA,01840,(978) 681-4900,Mon–Fri 9 AM–4:30 PM,Community and family support,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
