RawService,Categories,Source
Academic Excellence,K-12 Academic Support,boss-draft-2026-09-08
Academic Overtime,K-12 Academic Support,boss-draft-2026-09-08
Academic Program (ages three through grade eight),Early Childhood & Child Care; K-12 Academic Support,boss-draft-2026-09-08
Academic Support,K-12 Academic Support,boss-draft-2026-09-08
Academic Tutoring and Homework Help,K-12 Academic Support,boss-draft-2026-09-08
Adopt-A-Block community outreach,Environmental Programs; Community Events & Public Life,boss-draft-2026-09-08
Adult Education,Adult Education & ESL,boss-draft-2026-09-08
Adult Faith Formation,Faith & Spiritual Services,boss-draft-2026-09-08
Adult Technical Training and Apprenticeship Programs,Employment & Workforce Training,boss-draft-2026-09-08
Advocacy,Legal & Immigration; Civic & Government Services,boss-draft-2026-09-08
Advocacy Services,Legal & Immigration; Civic & Government Services,boss-draft-2026-09-08
Affordable Housing Development,Housing & Economic Development,boss-draft-2026-09-08
After-School Activities,K-12 Academic Support; Youth Development & Mentoring,boss-draft-2026-09-08
Alleviate Hunger,Food Assistance,boss-draft-2026-09-08
Alumni Resources,College & Career Readiness,boss-draft-2026-09-08
Alumni Support Program,College & Career Readiness,boss-draft-2026-09-08
Art Gallery,Arts & Creative Programs,boss-draft-2026-09-08
Arts,Arts & Creative Programs,boss-draft-2026-09-08
Arts programs,Arts & Creative Programs,boss-draft-2026-09-08
Athletic Programs and Summer Conditioning,"Sports, Recreation & Fitness",boss-draft-2026-09-08
Athletics Programs,"Sports, Recreation & Fitness",boss-draft-2026-09-08
Autism Services,Disability & Aging Services,boss-draft-2026-09-08
Automotive Repair and Collision Services (Public),Employment & Workforce Training,boss-draft-2026-09-08
Back to School Program,Family Support & Child Welfare; Community Events & Public Life,boss-draft-2026-09-08
Baptism Services,Faith & Spiritual Services,boss-draft-2026-09-08
Basic Life Support training,Health Care (Clinical); Civic & Government Services,boss-draft-2026-09-08
Behavioral Health Services,Mental & Behavioral Health,boss-draft-2026-09-08
Beyond Resilient Girls Program,Youth Development & Mentoring,boss-draft-2026-09-08
Billing and Financial Counseling,Financial Counseling; Health Care (Clinical),boss-draft-2026-09-08
Blood Donation,Health Care (Clinical); Civic & Government Services,boss-draft-2026-09-08
Board Development and Training,Small Business & Nonprofit Support,boss-draft-2026-09-08
Boat Access for Members,"Sports, Recreation & Fitness",boss-draft-2026-09-08
Book clubs,Arts & Creative Programs; Civic & Government Services,boss-draft-2026-09-08
Breastfeeding and Bottle Feeding Support,Early Childhood & Child Care; Health Care (Clinical),boss-draft-2026-09-08
Bridge Ministry outreach and essential supplies,Homelessness & Emergency Shelter; Faith & Spiritual Services,boss-draft-2026-09-08
Brighten the Holidays,Clothing & Household Essentials; Community Events & Public Life,boss-draft-2026-09-08
Bus Route Information,Civic & Government Services,boss-draft-2026-09-08
Business & Computer Technology Programs,Employment & Workforce Training,boss-draft-2026-09-08
Business Partnerships for Community Impact,Small Business & Nonprofit Support,boss-draft-2026-09-08
Camp and Summer Programs,K-12 Academic Support; Youth Development & Mentoring,boss-draft-2026-09-08
Campus Ministry and Retreats,Faith & Spiritual Services,boss-draft-2026-09-08
Canoeing,"Sports, Recreation & Fitness",boss-draft-2026-09-08
Capacity Building,Small Business & Nonprofit Support,boss-draft-2026-09-08
Career Exploration,Employment & Workforce Training; College & Career Readiness,boss-draft-2026-09-08
Career Exploration Workshops,Employment & Workforce Training; College & Career Readiness,boss-draft-2026-09-08
Career and Technical Education Programs,Employment & Workforce Training; K-12 Academic Support,boss-draft-2026-09-08
Catering Services,Community Events & Public Life,boss-draft-2026-09-08
Celebrate Recovery program,Mental & Behavioral Health; Faith & Spiritual Services,boss-draft-2026-09-08
Cemetery Services,Faith & Spiritual Services,boss-draft-2026-09-08
Character & Leadership Development,Youth Development & Mentoring,boss-draft-2026-09-08
Character Development Programs,Youth Development & Mentoring,boss-draft-2026-09-08
Child Advocacy,Family Support & Child Welfare,boss-draft-2026-09-08
Child Care Professional Training and Workforce Development,Employment & Workforce Training; Early Childhood & Child Care,boss-draft-2026-09-08
Child Care Referrals and Resources,Early Childhood & Child Care,boss-draft-2026-09-08
Child Care Services,Early Childhood & Child Care,boss-draft-2026-09-08
Child Safety Training,Family Support & Child Welfare,boss-draft-2026-09-08
Child and Family Counseling,Mental & Behavioral Health; Family Support & Child Welfare,boss-draft-2026-09-08
Childcare Services,Early Childhood & Child Care,boss-draft-2026-09-08
Childhood Lead Poisoning Prevention,Health Care (Clinical); Family Support & Child Welfare,boss-draft-2026-09-08
Citizenship Exam preparation,Legal & Immigration,boss-draft-2026-09-08
Citizenship and Naturalization Services,Legal & Immigration,boss-draft-2026-09-08
Citizenship preparation and resources,Legal & Immigration,boss-draft-2026-09-08
City Forms & Records Access,Civic & Government Services,boss-draft-2026-09-08
Civic Transparency & Access,Civic & Government Services,boss-draft-2026-09-08
Climate Resilient Neighborhoods Initiative,Environmental Programs,boss-draft-2026-09-08
Coaching Certification,"Employment & Workforce Training; Sports, Recreation & Fitness",boss-draft-2026-09-08
Cognitive stimulation activities,Disability & Aging Services,boss-draft-2026-09-08
College & Career Planning,College & Career Readiness,boss-draft-2026-09-08
College Application and Financial Aid Support,College & Career Readiness,boss-draft-2026-09-08
College Counseling,College & Career Readiness,boss-draft-2026-09-08
College Enrollment and Graduation Support,College & Career Readiness,boss-draft-2026-09-08
