Confirmed?,Org,SiteName,Address,City,State,Zip,Phone,Hours,ServicesHere,Kind,FoundAt,Note
,Lazarus House Ministries,Administrative Office,412 Hampshire Street,Lawrence,MA,01841,(978) 689-8575,,Administration and donations,admin,https://lazarushouse.org/contact/,
,Lazarus House Ministries,St. Martha's Food Pantry,242 Hampshire Street,Lawrence,MA,01841,,Wed 9 AM–2 PM,Food Pantry,public,https://lazarushouse.org/contact/,
,Lazarus House Ministries,Good Shepherd Soup Kitchen,260 Park Street,Lawrence,MA,01841,,Daily breakfast 8:30–9:30 AM; Daily lunch 11:30 AM–1 PM,Soup Kitchen,public,https://lazarushouse.org/contact/,
,Lazarus House Ministries,Thrift Store,229 South Union Street,Lawrence,MA,01843,(978) 557-5449,"Mon, Tue, Thu, Fri, Sat 10 AM–3 PM; Wed 9 AM–5 PM",Thrift Store,public,https://lazarushouse.org/contact/,
,Lazarus House Ministries,Emergency Shelter — 24-hour intake line,,,,,(978) 794-8447,24 hours; 7 days,Emergency Shelter,public,https://lazarushouse.org/contact/,
,Greater Lawrence Family Health,Main Site — Clinic,34 Haverhill Street,Lawrence,MA,01841,(978) 686-0090,Mon–Thu 8 AM–9 PM; Fri 9 AM–6 PM; Sat–Sun 9 AM–5 PM,Primary and walk-in care,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,Main Site — Pharmacy,34 Haverhill Street,Lawrence,MA,01841,(978) 688-1567,Mon–Thu 8:30 AM–9 PM; Fri 9 AM–7 PM; Sat–Sun 9 AM–5 PM,Pharmacy,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,North Site — Clinic,150 Park Street,Lawrence,MA,,(978) 685-1770,"Mon, Wed, Thu 8 AM–5 PM; Tue 8 AM–9 PM; Fri 9 AM–5 PM",Primary care,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,North Site — Pharmacy,150 Park Street,Lawrence,MA,,(978) 686-4453,Mon 8:30 AM–6 PM; Tue 8:30 AM–9 PM; Wed–Thu 8:30 AM–6 PM; Fri 9 AM–6 PM,Pharmacy,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,South Site — Clinic,73 Winthrop Avenue,Lawrence,MA,,(978) 686-3017,Mon 8 AM–9 PM; Tue–Thu 8 AM–5 PM; Fri 9 AM–5 PM,Primary care,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,South Site — Pharmacy,73 Winthrop Avenue,Lawrence,MA,,(978) 689-6790,Mon 8:30 AM–8 PM; Tue–Thu 8:30 AM–6 PM; Fri 9 AM–6 PM,Pharmacy,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,West Site — Clinic,700 Essex Street,Lawrence,MA,,(978) 689-2400,Mon 8 AM–8 PM; Tue–Thu 8 AM–5 PM; Fri 9 AM–5 PM,Primary care,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,West Site — Pharmacy,700 Essex Street,Lawrence,MA,,(978) 691-6248,Mon 8:30 AM–8 PM; Tue–Thu 8:30 AM–6 PM; Fri 9 AM–6 PM,Pharmacy,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,Methuen Site — Clinic,147 Pelham Street,Methuen,MA,,(978) 683-3491,Mon–Thu 8 AM–5 PM; Fri 9 AM–5 PM,Primary care,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,Methuen Site — Pharmacy,147 Pelham Street,Methuen,MA,,(978) 655-5731,"Mon, Tue, Thu 8:30 AM–6 PM; Wed 8:30 AM–7 PM; Fri 9 AM–6 PM",Pharmacy,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,Haverhill Site — Clinic,755 Main Street,Haverhill,MA,,(978) 557-2300,"Mon, Wed, Thu 8 AM–5 PM; Tue 8 AM–6 PM; Fri 9 AM–5 PM",Primary care,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,Haverhill Site — Pharmacy,755 Main Street,Haverhill,MA,,(978) 557-2399,Mon–Fri 9 AM–5 PM,Pharmacy,public,https://glfhc.org/locations/,
,Greater Lawrence Family Health,Lawrence Hospital Site — Clinic,,Lawrence,MA,,(978) 983-0488,Mon–Thu 8 AM–5 PM; Fri 9 AM–5 PM,Primary care (no pharmacy at this site),public,https://glfhc.org/locations/,
,Neighbors in Need,Administrative Office,60 Island Street,Lawrence,MA,,(978) 699-3683,,Administration — no food distributed at this address,admin,https://needfood.org/,
,Neighbors in Need,Iglesia Adventista Del Septimo Dia Jerusalen,198 South Broadway,Lawrence,MA,,,Tue 9–10:30 AM,Food Pantry,public,https://needfood.org/,
,Neighbors in Need,First Church Congregational,26 Pleasant Street,Methuen,MA,,,Tue 5:30–6:30 PM,Food Pantry,public,https://needfood.org/,
,Neighbors in Need,St. Andrew's Church,90 Broadway,Methuen,MA,,,Wed 12:30–2 PM,Food Pantry,public,https://needfood.org/,
,Neighbors in Need,Lawrence Boys and Girls Club,136 Water Street,Lawrence,MA,01841,,Thu 9–10:30 AM,Food Pantry,public,https://needfood.org/,
,Neighbors in Need,Robb Center,30 Whittier Court,Andover,MA,,,Thu 4–5 PM,Food Pantry,public,https://needfood.org/,
,Neighbors in Need,Ministerio Apostolico Jesucristo es el Señor,96 East Haverhill Street,Lawrence,MA,,,Fri 9–10:30 AM,Food Pantry,public,https://needfood.org/,
