Org,Tag,Verdict,Notes,Landed_URL,Flag
Bread and Roses Housing,Homebuyer Education and Counseling,accurate,"According to the Who Are We? section on the page, the organization has a ""proven track record of empowering thousands of underserved residents through HUD-certified first-time homebuyer education, eviction prevention support and resources.""",https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Foreclosure Prevention,accurate,Found: https://mycaf.org/about-us/,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Rental Counseling,accurate,Found: https://mycaf.org/about-us/,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Financial Literacy,accurate,Found: https://mycaf.org/financial-literacy-program/,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Credit Counseling and Consumer Protection,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,"Public, Social, and Environmental Health",accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Family Strengthening and Mental Health Services,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Elderly Support Program,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Bajo La Sombra Project,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Workforce Skill Development,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Capacity Building,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Housing Development,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Advocacy,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,[OLD] Housing Insecurity,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,[OLD] Homelessness,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,[OLD] Affordable Housing,accurate,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,[MISSING — write in anything the site offers that's not listed],,Eviction Prevention,https://mycaf.org/brh-development/,redirected_domain
Greater Lawrence Family Health,Internal Medicine,accurate,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Gynecology,accurate,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Obstetrics and Prenatal Care,accurate,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Pediatric Care,accurate,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Geriatric Care,accurate,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Pharmacy Services,accurate,,https://glfhc.org/,gemini
