Name,Services,Service_Method,Source_URLs,Landed_URL,Old_Services
ACT Lawrence,"First-Time Homebuyer Education, Landlord/Tenant Rights & Responsibilities Workshops, Foreclosure Prevention and Homeowner Counseling, Rental Assistance and Counseling, Youth Housing Support, Vocational Training and Certifications",gemini,https://www.actlawrence.org/housing | https://www.actlawrence.org/financial-literacy-and-rental-support | https://www.actlawrence.org/vocational-program,https://www.actlawrence.org/,"Adult Education, Economic Mobility, Workforce Development, Financial Literacy, Food Insecurity"
Bellesini Academy,"Rigorous Academic Curriculum, After-School Activities, Evening Study Program, Summer Enrichment Program, Alumni Support Program, Family Partnership",gemini,https://bellesiniacademy.org/learning | https://bellesiniacademy.org/copy-of-evening-study-program | https://bellesiniacademy.org/copy-of-summer-program | https://bellesiniacademy.org/alumni-support-program | https://bellesiniacademy.org/copy-of-alumni-support-program,https://bellesiniacademy.org/,"K-8 Education, Faith-based Education, Academic Support"
Beyond Soccer,"Paul Lefty Wennik Scholarship, Summer Enrichment, Lawrence Youth Soccer, Winter Futsal, Academic Overtime, Health Kicks!, Beyond Resilient Girls Program, Leadership & Youth Jobs, In School Programs, Sport & Wellness Camp",gemini,https://www.beyondsoccerlawrence.org/programs/ | https://www.beyondsoccerlawrence.org/programs/summer-enrichment/ | https://www.beyondsoccerlawrence.org/programs/soccer/lys/ | https://www.beyondsoccerlawrence.org/programs/futsal/ | https://www.beyondsoccerlawrence.org/programs/academicovertime/ | https://www.beyondsoccerlawrence.org/programs/healthkicks/,https://www.beyondsoccerlawrence.org/,"Athletics, Youth Development, After School"
Bread and Roses Housing,"Homebuyer Education and Counseling, Foreclosure Prevention, Rental Counseling, Financial Literacy, Credit Counseling, and Consumer Protection, Public, Social, and Environmental Health Programs, Family Strengthening and Mental Health Services, Elderly Support Program, Bajo La Sombra Project, Workforce Skill Development, Capacity Building, Housing Development, Advocacy",redirected_domain,https://mycaf.org/homebuyer-program/ | https://mycaf.org/financial-literacy-program/ | https://mycaf.org/localconsumerprotection/ | https://mycaf.org/nueva-esperanza/ | https://mycaf.org/workforce-and-economic-development-programs/ | https://mycaf.org/digital-literacy-training-program/,https://mycaf.org/brh-development/,"Housing Insecurity, Homelessness, Affordable Housing"
Bread and Roses Kitchen,"Community Meals, Grab and Go, Emergency Food Pantry, Community Food Outreach, Food Rescue, Life and Health Services",gemini,https://breadandroseskitchen.org/life-and-health-services | https://breadandroseskitchen.org/what-we-do,https://breadandroseskitchen.org/,"Food Insecurity, Food Pantry, Hunger Relief"
Children's Friend and Family Services- a division of JRI,,too_little_text,https://www.childrensfriend.net,https://www.childrensfriend.net,"Family Services, Child Welfare, Mental Health, Foster Care"
Community Giving Tree,"Evening of Giving, October Fun Fest, Back to School Program",gemini,https://www.communitygivingtree.org/community-programs,https://www.communitygivingtree.org/,"Basic Needs, Clothing, Diapers, Family Services, Toy Drive"
Community InRoads,"Nonprofit Consulting, Executive Roundtables for Nonprofit Leaders, Cultural Inclusion Program, Board Development and Training, Nonprofit Management Workshops, Volunteer Recruitment and Placement for Nonprofits",gemini,https://www.communityinroads.org/# | https://www.communityinroads.org/summary-our-services.html,https://www.communityinroads.org/,"Capacity Building, Training, Consulting, Mentoring, Board Development, Economic Mobility, Workforce Development, Education"
EforAll,,too_little_text,https://eforall.org/ma/merrimack-valley,https://eforall.org/ma/merrimack-valley,"Economic Mobility, Workforce Development, Entrepreneurship, Small Business, Financial Literacy"
Elevated Thought,"Summer Intensive Art Program, Visual Arts Apprenticeship, Photography and Videography Apprenticeship, Creative Writing Apprenticeship, Sewing and Sustainable Fashion Apprenticeship, Social Justice Collective for Youth, Community Engagement through Public Art Projects",gemini,https://www.elevatedthought.org/summerprogram,https://www.elevatedthought.org/,"Arts and Culture, Youth Development, Creative Arts, After School"
Elliot Community Services,,too_little_text,https://www.eliotchs.org/services,https://www.eliotchs.org/services,"Mental Health, Family Services, Counseling, Behavioral Health"
Esperanza Academy,"Academic Excellence, Graduate Success, Restorative Justice, Music Therapy, Cultural Wealth, Hope Rising, Ready To Rise",gemini,https://esperanzaacademy.org/what-we-do,https://esperanzaacademy.org/,"Education, Youth Development, Middle School, Girls Education"
Essex County Habitat For Humanity,,too_little_text,https://www.essexcountyhabitat.org/shop,https://www.essexcountyhabitat.org/shop,"Housing Insecurity, Homelessness, Home Repair, Affordable Housing, Home Ownership"
