Org,Tag,Verdict,Notes,Landed_URL,Flag
Bread and Roses Housing,Homebuyer Education and Counseling,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Foreclosure Prevention,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Rental Counseling,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Financial Literacy,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Credit Counseling,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,and Consumer Protection,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Public,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Social,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,and Environmental Health Programs,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Family Strengthening and Mental Health Services,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Elderly Support Program,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Bajo La Sombra Project,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Workforce Skill Development,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Capacity Building,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Housing Development,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,Advocacy,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,[OLD] Housing Insecurity,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,[OLD] Homelessness,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,[OLD] Affordable Housing,,,https://mycaf.org/brh-development/,redirected_domain
Bread and Roses Housing,[MISSING — write in anything the site offers that's not listed],,,https://mycaf.org/brh-development/,redirected_domain
Greater Lawrence Family Health,Internal Medicine,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Gynecology,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Obstetrics and Prenatal Care,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Pediatric Care,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Geriatric Care,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Pharmacy Services,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Walk-in Care,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Disease Prevention and Health Education,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Nutrition Counseling,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Laboratory Services,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Health Insurance Enrollment and Cost of Care Assistance,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,Pharmacy Residency Program,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,[OLD] Healthcare,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,[OLD] Primary Care,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,[OLD] Dental Care,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,[OLD] Behavioral Health,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,[OLD] Maternal Health,,,https://glfhc.org/,gemini
Greater Lawrence Family Health,[MISSING — write in anything the site offers that's not listed],,,https://glfhc.org/,gemini
Hands to Help,Academic Degree and Certificate Programs,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,Experiential Learning Opportunities,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,Student Academic and Career Support,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,Student Residential and Campus Life Services,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,Student Health and Wellness Services,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,Athletic Programs,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,Admissions and Financial Services,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,Spiritual Life and Community Service Programs,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,Specialized Academic Learning Communities,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,[OLD] Adult Education,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,[OLD] After School,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,[OLD] College Prep,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,[OLD] Economic Mobility,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,[OLD] Workforce Development,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,[OLD] Literacy,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,[OLD] Social Services,,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Hands to Help,[MISSING — write in anything the site offers that's not listed],,,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,gemini
Lawrence Partnership for Transition to Employment (LPTE),Small business loans,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),Technical assistance grants for small businesses,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),Merrimack Valley Small Business Coalition,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),LP Network,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),Know Your City Series,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),Workforce analysis,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),Local job listings,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),[OLD] Disabilities,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),[OLD] Transition to Employment,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),[OLD] Job Training,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),[OLD] Vocational Rehabilitation,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership for Transition to Employment (LPTE),[MISSING — write in anything the site offers that's not listed],,,https://lawrencepartnership.org/,gemini
Northeast Justice Center,DTA and Public Benefits Appeals/Assistance,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Domestic Abuse and Crime Victim Legal Aid,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Housing and Shelter Legal Aid,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Money and Debt Legal Aid,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Children,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Family,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,and Divorce Legal Aid,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Employment and Unemployment Legal Aid,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Immigration Legal Services,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Criminal Records (CORI) and Licensing Legal Aid,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Health and Disability Rights Legal Aid,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,School-Related Legal Aid,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Lawyer Referrals,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,Legal Information and Self-Help Resources,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,[OLD] Legal Services,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,[OLD] Immigration Law,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,[OLD] Housing Law,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,[OLD] Consumer Protection,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,[OLD] Benefits Assistance,,,https://www.masslegalhelp.org/,gemini
Northeast Justice Center,[MISSING — write in anything the site offers that's not listed],,,https://www.masslegalhelp.org/,gemini
St. Mary's Parish,Pre-School/Kindergarten Program,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,Sacramental Preparation Programs,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,Worship Services,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,Baptism Services,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,Youth Ministry Programs,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,Adult Faith Formation,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,Child Safety Training,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,Parish Fellowship Groups,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,Special Cultural & Liturgical Events,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,[OLD] Faith-based Services,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,[OLD] Community Outreach,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,[OLD] Food Pantry,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,[OLD] Social Services,,,https://www.stmaryassumption-lawrence.org/,gemini
St. Mary's Parish,[MISSING — write in anything the site offers that's not listed],,,https://www.stmaryassumption-lawrence.org/,gemini
Merrimack River Watershed Council (MRVC),Advocacy,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),Education,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),Recreation Promotion,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),Water Quality Monitoring,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),Combined Sewer Overflow (CSO) Investigation,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),Post-Event Water Quality Testing,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),Watershed Restoration Projects,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),Watershed Climate Resilience Planning,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),Volunteer Program Management,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),[OLD] Environmental Justice,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),[OLD] Climate Change,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),[OLD] Watershed Conservation,,,https://merrimack.org/,gemini
